product_number,discount,orders,day_of_week,month,is_weekend,quarter,is_summer,is_winter,department_desc_MENS OWN BRAND FOOTWEAR,department_desc_MENS OWN BRAND OUTERWEAR,Predictions
1394,53.335,0.0,3,12,0,4,0,1,1,0,9.0
2370,0.0,11.0,1,12,0,4,0,1,1,0,4.0
4135,30.0,4.0,4,12,0,4,0,1,1,0,1.0
1371,10.0,17.0,2,12,0,4,0,1,0,0,0.0
1412,0.0,15.0,1,3,0,1,0,0,1,0,34.0
3396,0.0,17.0,3,7,0,3,1,0,0,0,3.0
292,0.0,0.0,1,6,0,2,1,0,0,0,0.0
122,43.12,0.0,0,5,0,2,0,0,0,1,1.0
4327,0.0,0.0,6,1,1,1,0,1,0,0,0.0
422,8.7,0.0,5,12,1,4,0,1,0,1,3.0
1737,35.89,0.0,4,9,0,3,0,0,1,0,1.0
379,30.0,0.0,5,1,1,1,0,1,0,0,1.0
4129,30.0,9.0,6,2,1,1,0,1,1,0,8.0
1382,18.12,0.0,4,2,0,1,0,1,1,0,2.0
726,5.88,4.0,3,6,0,2,1,0,1,0,13.0
383,40.0,4.0,4,5,0,2,0,0,0,0,4.0
282,40.0,0.0,0,5,0,2,0,0,0,0,2.0
3773,46.15,0.0,0,9,0,3,0,0,1,0,1.0
2492,19.97,9.0,0,7,0,3,1,0,0,0,2.0
1740,0.0,26.0,1,11,0,4,0,0,1,0,19.0
286,30.0,0.0,3,5,0,2,0,0,0,0,0.0
292,0.0,4.0,1,9,0,3,0,0,0,0,8.0
3567,35.71,0.0,5,12,1,4,0,1,0,1,0.0
1392,50.0,4.0,0,1,0,1,0,1,1,0,3.0
3174,50.0,0.0,1,3,0,1,0,0,1,0,1.0
4658,0.0,0.0,4,5,0,2,0,0,0,0,1.0
1035,30.77,0.0,6,1,1,1,0,1,0,1,2.0
1697,5.0,15.0,4,4,0,2,0,0,1,0,14.0
107,52.7,0.0,3,8,0,3,1,0,0,1,0.0
724,0.0,9.0,6,1,1,1,0,1,1,0,13.0
2499,0.0,0.0,2,4,0,2,0,0,0,0,2.0
4466,0.0,11.0,5,8,1,3,1,0,1,0,5.0
1897,33.67,0.0,5,10,1,4,0,0,0,1,0.0
4118,41.715,0.0,1,10,0,4,0,0,1,0,0.0
1810,40.0,9.0,0,2,0,1,0,1,0,0,5.0
3415,73.035,14.0,4,9,0,3,0,0,1,0,2.0
311,44.33,0.0,4,2,0,1,0,1,1,0,0.0
3467,0.0,15.0,1,12,0,4,0,1,0,1,6.0
420,23.08,0.0,0,9,0,3,0,0,0,0,1.0
4560,0.0,23.0,4,7,0,3,1,0,0,0,4.0
3745,54.39,0.0,5,12,1,4,0,1,1,0,0.0
2094,0.0,0.0,0,7,0,3,1,0,0,1,0.0
389,0.0,0.0,5,9,1,3,0,0,0,0,0.0
1960,19.61,0.0,1,3,0,1,0,0,0,0,0.0
3303,20.0,4.0,1,2,0,1,0,1,0,0,0.0
1024,35.0,4.0,4,10,0,4,0,0,0,0,7.0
378,35.0,4.0,0,4,0,2,0,0,0,0,0.0
1732,53.68,4.0,0,9,0,3,0,0,1,0,4.0
3397,0.0,0.0,6,1,1,1,0,1,0,0,1.0
3754,8.495,0.0,4,8,0,3,1,0,1,0,5.0
1036,0.0,0.0,5,10,1,4,0,0,0,1,7.0
145,33.5,0.0,4,2,0,1,0,1,0,1,3.0
4655,0.0,0.0,1,3,0,1,0,0,0,0,2.0
3394,0.0,0.0,0,1,0,1,0,1,0,0,0.0
1045,20.0,11.0,2,6,0,2,1,0,0,0,9.0
2568,17.19,4.0,5,7,1,3,1,0,1,0,1.0
2368,0.0,4.0,3,6,0,2,1,0,1,0,9.0
1420,30.0,9.0,5,12,1,4,0,1,1,0,1.0
1732,0.0,0.0,5,11,1,4,0,0,1,0,6.0
3757,32.82,0.0,6,7,1,3,1,0,1,0,0.0
2262,10.0,0.0,1,5,0,2,0,0,0,1,0.0
4142,0.0,0.0,5,12,1,4,0,1,1,0,3.0
671,0.0,4.0,6,12,1,4,0,1,0,0,1.0
2349,0.0,5.0,5,8,1,3,1,0,1,0,8.0
4107,47.635,9.0,2,11,0,4,0,0,1,0,0.0
3753,30.0,5.0,5,2,1,1,0,1,1,0,5.0
2825,30.805,0.0,4,6,0,2,1,0,1,0,0.0
3288,0.0,33.0,1,10,0,4,0,0,1,0,21.0
2379,0.0,0.0,4,1,0,1,0,1,1,0,2.0
3850,20.0,0.0,2,11,0,4,0,0,0,0,6.0
3428,0.0,16.0,4,12,0,4,0,1,0,1,40.0
3098,0.0,0.0,2,3,0,1,0,0,0,0,2.0
3304,0.0,0.0,6,5,1,2,0,0,0,0,0.0
2409,47.09,0.0,4,2,0,1,0,1,1,0,0.0
2396,40.0,10.0,2,9,0,3,0,0,0,0,4.0
2909,27.69,0.0,5,11,1,4,0,0,0,0,1.0
3820,39.5,0.0,2,12,0,4,0,1,0,1,3.0
3752,20.0,10.0,1,10,0,4,0,0,1,0,12.0
2568,17.19,0.0,4,6,0,2,1,0,1,0,1.0
4468,55.56,0.0,6,4,1,2,0,0,1,0,4.0
3479,28.41,0.0,0,9,0,3,0,0,0,0,9.0
2250,0.0,0.0,3,1,0,1,0,1,0,0,1.0
2369,0.0,0.0,3,4,0,2,0,0,1,0,3.0
1581,0.0,0.0,6,9,1,3,0,0,0,0,2.0
3485,37.83,0.0,3,9,0,3,0,0,1,0,0.0
3406,0.0,43.0,4,3,0,1,0,0,1,0,19.0
3171,8.8,0.0,6,6,1,2,1,0,1,0,0.0
399,30.16,0.0,5,5,1,2,0,0,0,1,0.0
2576,30.0,0.0,3,12,0,4,0,1,1,0,6.0
3432,0.0,0.0,0,2,0,1,0,1,0,1,6.0
723,0.0,0.0,1,5,0,2,0,0,1,0,4.0
3333,5.88,0.0,2,8,0,3,1,0,0,1,0.0
1392,0.0,14.0,5,10,1,4,0,0,1,0,11.0
3395,0.0,5.0,3,5,0,2,0,0,0,0,3.0
1302,20.81,0.0,5,1,1,1,0,1,0,0,1.0
2557,0.0,5.0,6,10,1,4,0,0,1,0,11.0
3168,20.0,0.0,1,1,0,1,0,1,1,0,0.0
2560,0.0,5.0,0,1,0,1,0,1,1,0,7.0
3171,2.0,0.0,2,4,0,2,0,0,1,0,0.0
1038,0.0,4.0,4,9,0,3,0,0,0,1,4.0
3323,44.46,10.0,6,2,1,1,0,1,0,0,2.0
298,20.34,0.0,5,8,1,3,1,0,0,0,1.0
1698,30.0,16.0,4,8,0,3,1,0,1,0,24.0
996,2.0,0.0,6,5,1,2,0,0,1,0,8.0
1728,49.47,0.0,2,5,0,2,0,0,1,0,2.0
3485,37.83,0.0,6,7,1,3,1,0,1,0,0.0
138,0.0,0.0,3,10,0,4,0,0,0,1,3.0
395,0.0,22.0,1,1,0,1,0,1,0,1,3.0
1740,0.0,22.0,1,3,0,1,0,0,1,0,16.0
4142,0.0,0.0,3,4,0,2,0,0,1,0,3.0
2359,0.0,26.0,5,9,1,3,0,0,1,0,22.0
292,15.0,9.0,0,2,0,1,0,1,0,0,4.0
322,50.0,0.0,6,6,1,2,1,0,0,1,0.0
3001,0.0,0.0,2,1,0,1,0,1,0,0,2.0
3395,15.0,0.0,0,2,0,1,0,1,0,0,5.0
150,23.5,0.0,3,3,0,1,0,0,0,1,0.0
2384,44.935,0.0,4,9,0,3,0,0,1,0,1.0
105,10.0,0.0,4,3,0,1,0,0,0,1,0.0
1199,1.89,0.0,4,3,0,1,0,0,1,0,6.0
1408,20.0,0.0,3,8,0,3,1,0,0,0,3.0
1744,5.0,4.0,3,5,0,2,0,0,1,0,11.0
2907,49.52,0.0,6,8,1,3,1,0,0,0,2.0
1386,20.0,0.0,4,1,0,1,0,1,1,0,0.0
1413,11.11,4.0,1,12,0,4,0,1,1,0,9.0
3336,30.0,11.0,0,5,0,2,0,0,0,1,7.0
148,10.0,0.0,2,6,0,2,1,0,0,1,0.0
4661,0.0,0.0,6,7,1,3,1,0,0,0,0.0
2907,30.0,0.0,4,12,0,4,0,1,0,0,0.0
1363,0.0,0.0,6,8,1,3,1,0,0,0,2.0
728,47.5,4.0,1,4,0,2,0,0,1,0,1.0
730,42.86,0.0,5,3,1,1,0,0,1,0,1.0
723,0.0,0.0,2,1,0,1,0,1,1,0,1.0
295,0.0,0.0,4,6,0,2,1,0,0,0,3.0
3006,20.0,9.0,2,8,0,3,1,0,0,0,13.0
3615,27.785,4.0,0,1,0,1,0,1,0,0,3.0
3318,6.25,11.0,0,11,0,4,0,0,1,0,16.0
2397,22.67,0.0,5,2,1,1,0,1,1,0,3.0
1178,0.0,0.0,3,2,0,1,0,1,0,0,1.0
715,0.0,9.0,5,2,1,1,0,1,0,0,8.0
1739,28.21,4.0,2,9,0,3,0,0,1,0,1.0
2492,19.97,0.0,6,9,1,3,0,0,0,0,0.0
1398,50.0,9.0,0,11,0,4,0,0,1,0,18.0
693,0.0,16.0,6,2,1,1,0,1,1,0,13.0
1411,20.0,0.0,5,7,1,3,1,0,0,0,1.0
1897,20.0,0.0,1,6,0,2,1,0,0,1,2.0
2992,0.0,0.0,3,5,0,2,0,0,0,0,1.0
280,30.0,4.0,4,2,0,1,0,1,0,0,0.0
313,20.675714285714285,0.0,5,4,1,2,0,0,1,0,0.0
4118,0.18,0.0,2,5,0,2,0,0,1,0,0.0
2566,11.11,0.0,5,2,1,1,0,1,1,0,0.0
3406,0.0,0.0,5,10,1,4,0,0,1,0,5.0
3395,0.0,5.0,0,4,0,2,0,0,0,0,2.0
1695,5.0,31.0,3,2,0,1,0,1,1,0,12.0
2353,7.69,0.0,5,1,1,1,0,1,1,0,0.0
676,24.79,0.0,4,7,0,3,1,0,0,0,1.0
1961,20.0,0.0,0,10,0,4,0,0,0,0,0.0
2378,70.0,0.0,2,9,0,3,0,0,1,0,1.0
3399,14.89,0.0,2,10,0,4,0,0,0,0,1.0
1188,0.0,0.0,6,9,1,3,0,0,0,0,1.0
4470,0.0,0.0,2,12,0,4,0,1,0,0,0.0
4130,0.0,0.0,3,12,0,4,0,1,1,0,3.0
4119,25.0,4.0,6,3,1,1,0,0,1,0,3.0
3,50.0,0.0,4,1,0,1,0,1,1,0,1.0
1725,0.0,0.0,2,9,0,3,0,0,1,0,1.0
2993,16.67,0.0,1,4,0,2,0,0,0,0,1.0
3168,20.0,4.0,0,9,0,3,0,0,1,0,1.0
2233,5.355,5.0,5,7,1,3,1,0,0,0,1.0
1718,50.0,0.0,3,2,0,1,0,1,1,0,0.0
2568,17.19,0.0,3,8,0,3,1,0,1,0,1.0
2073,0.0,4.0,3,8,0,3,1,0,0,1,2.0
1422,7.94,0.0,2,12,0,4,0,1,1,0,0.0
2906,45.0,17.0,3,8,0,3,1,0,1,0,11.0
1712,40.0,5.0,5,12,1,4,0,1,1,0,3.0
1412,15.0,30.0,5,2,1,1,0,1,1,0,55.0
386,0.0,0.0,0,12,0,4,0,1,0,0,0.0
3427,0.0,18.0,2,1,0,1,0,1,0,1,22.0
1699,0.0,66.0,4,12,0,4,0,1,1,0,43.0
3444,0.0,23.0,0,11,0,4,0,0,0,1,12.0
378,30.0,0.0,1,11,0,4,0,0,0,0,0.0
2568,17.19,0.0,2,4,0,2,0,0,1,0,1.0
413,30.0,0.0,6,1,1,1,0,1,0,0,0.0
4650,0.0,0.0,1,10,0,4,0,0,0,0,1.0
309,0.0,0.0,4,9,0,3,0,0,0,0,0.0
119,0.0,13.0,1,9,0,3,0,0,0,1,34.0
3305,0.0,0.0,5,2,1,1,0,1,0,0,0.0
3755,46.855000000000004,0.0,5,2,1,1,0,1,1,0,0.0
1032,28.89,0.0,1,4,0,2,0,0,0,1,2.0
4114,20.0,0.0,1,12,0,4,0,1,0,0,0.0
152,45.45,0.0,1,10,0,4,0,0,0,1,5.0
3615,22.380000000000003,0.0,0,2,0,1,0,1,0,0,0.0
3397,0.0,4.0,5,10,1,4,0,0,0,0,5.0
1908,1.29,5.0,0,1,0,1,0,1,0,1,0.0
672,23.73,0.0,3,3,0,1,0,0,0,0,2.0
2346,45.0,17.0,4,11,0,4,0,0,1,0,14.0
146,7.14,5.0,6,11,1,4,0,0,0,1,4.0
671,0.0,0.0,6,1,1,1,0,1,0,0,0.0
3321,25.775,11.0,6,2,1,1,0,1,1,0,2.0
2346,0.0,0.0,5,12,1,4,0,1,1,0,7.0
1909,20.0,0.0,4,1,0,1,0,1,0,0,1.0
122,30.0,0.0,0,3,0,1,0,0,0,1,4.0
283,15.0,0.0,3,12,0,4,0,1,0,0,0.0
2051,3.45,0.0,5,4,1,2,0,0,0,0,0.0
4375,0.0,5.0,1,4,0,2,0,0,0,0,4.0
1738,28.21,33.0,6,8,1,3,1,0,1,0,30.0
2404,0.0,0.0,3,2,0,1,0,1,1,0,1.0
1302,17.765,0.0,1,11,0,4,0,0,0,0,1.0
382,0.0,0.0,5,11,1,4,0,0,0,0,2.0
1814,0.0,0.0,5,2,1,1,0,1,0,0,1.0
106,47.97,0.0,1,9,0,3,0,0,0,1,0.0
3301,0.0,0.0,3,8,0,3,1,0,0,0,0.0
2826,3.26,0.0,2,6,0,2,1,0,1,0,1.0
3464,30.0,42.0,2,11,0,4,0,0,0,1,49.0
3308,0.0,47.0,2,5,0,2,0,0,0,0,7.0
4564,30.0,0.0,4,4,0,2,0,0,0,0,0.0
996,2.0,21.0,2,5,0,2,0,0,1,0,5.0
2101,6.225,29.0,6,2,1,1,0,1,1,0,27.0
3485,37.83,0.0,6,8,1,3,1,0,1,0,0.0
1737,26.03,0.0,0,8,0,3,1,0,1,0,0.0
4650,3.23,0.0,6,11,1,4,0,0,0,0,0.0
4546,20.97,0.0,3,2,0,1,0,1,0,0,2.0
3456,0.0,18.0,1,1,0,1,0,1,0,1,9.0
3478,31.52,5.0,4,7,0,3,1,0,0,0,1.0
3771,44.405,10.0,6,6,1,2,1,0,1,0,1.0
1390,30.0,0.0,6,8,1,3,1,0,1,0,8.0
2906,48.0,4.0,0,9,0,3,0,0,1,0,3.0
3456,45.0,4.0,4,12,0,4,0,1,0,1,19.0
1199,0.0,10.0,3,6,0,2,1,0,1,0,0.0
2258,11.11,0.0,0,11,0,4,0,0,0,1,5.0
2571,0.0,4.0,4,12,0,4,0,1,1,0,0.0
3336,29.17,5.0,2,6,0,2,1,0,0,1,3.0
1697,25.0,30.0,1,11,0,4,0,0,1,0,29.0
3328,0.0,9.0,1,9,0,3,0,0,0,1,12.0
2409,53.7,0.0,4,7,0,3,1,0,1,0,0.0
2373,0.0,4.0,5,9,1,3,0,0,1,0,8.0
321,10.26,17.0,2,12,0,4,0,1,0,1,38.0
383,70.0,4.0,1,7,0,3,1,0,0,0,7.0
1189,29.41,0.0,4,1,0,1,0,1,0,0,1.0
3820,0.0,0.0,3,1,0,1,0,1,0,1,0.0
120,30.0,0.0,4,7,0,3,1,0,0,1,1.0
2103,9.76,4.0,1,1,0,1,0,1,1,0,1.0
1728,46.67,4.0,0,3,0,1,0,0,1,0,1.0
1365,3.45,0.0,4,6,0,2,1,0,0,0,0.0
1025,20.0,5.0,3,11,0,4,0,0,0,0,1.0
312,22.445,0.0,0,6,0,2,1,0,1,0,1.0
4464,0.0,31.0,6,11,1,4,0,0,1,0,37.0
4658,0.0,10.0,4,8,0,3,1,0,0,0,1.0
2376,9.09,0.0,6,9,1,3,0,0,1,0,2.0
697,2.705,28.0,0,4,0,2,0,0,1,0,39.0
1731,49.47,0.0,2,5,0,2,0,0,1,0,0.0
274,25.01,4.0,6,2,1,1,0,1,0,0,6.0
3753,11.11,11.0,0,10,0,4,0,0,1,0,5.0
671,0.0,0.0,5,2,1,1,0,1,0,0,0.0
3336,0.0,5.0,3,9,0,3,0,0,0,1,18.0
4658,0.0,0.0,2,7,0,3,1,0,0,0,3.0
3451,0.0,11.0,5,1,1,1,0,1,0,1,10.0
1396,12.165,0.0,3,1,0,1,0,1,1,0,2.0
310,20.0,0.0,5,1,1,1,0,1,0,0,1.0
4114,30.5,0.0,6,1,1,1,0,1,0,0,1.0
1809,20.0,0.0,5,5,1,2,0,0,0,0,0.0
398,34.21,11.0,5,11,1,4,0,0,0,1,4.0
3477,35.87,0.0,3,11,0,4,0,0,1,0,0.0
719,0.0,5.0,4,11,0,4,0,0,1,0,16.0
1914,11.235,0.0,0,1,0,1,0,1,0,0,2.0
2101,0.0,33.0,1,5,0,2,0,0,1,0,24.0
3444,50.0,58.0,0,12,0,4,0,1,0,1,47.0
1721,68.845,4.0,6,7,1,3,1,0,1,0,6.0
394,45.0,16.0,5,12,1,4,0,1,0,1,54.0
274,0.0,8.0,2,10,0,4,0,0,0,0,4.0
1726,0.0,0.0,5,9,1,3,0,0,1,0,0.0
1025,0.0,0.0,4,3,0,1,0,0,0,0,1.0
3744,16.5,0.0,0,1,0,1,0,1,1,0,1.0
1296,20.0,0.0,4,11,0,4,0,0,0,0,0.0
4557,0.0,0.0,1,1,0,1,0,1,0,0,4.0
3403,12.855,0.0,5,2,1,1,0,1,1,0,1.0
3327,70.0,17.0,2,8,0,3,1,0,0,1,15.0
413,0.0,34.0,4,3,0,1,0,0,0,0,29.0
3461,30.0,0.0,0,12,0,4,0,1,0,1,17.0
1710,0.0,0.0,3,1,0,1,0,1,1,0,5.0
428,0.0,4.0,6,2,1,1,0,1,0,1,11.0
718,0.0,29.0,5,11,1,4,0,0,1,0,23.0
1721,42.144999999999996,0.0,4,1,0,1,0,1,1,0,1.0
131,60.0,64.0,0,10,0,4,0,0,0,1,140.0
2261,32.5,0.0,3,6,0,2,1,0,0,1,1.0
1724,0.0,4.0,0,1,0,1,0,1,1,0,0.0
4449,25.0,29.0,5,7,1,3,1,0,1,0,13.0
682,0.0,0.0,0,4,0,2,0,0,0,0,1.0
1204,0.0,0.0,4,6,0,2,1,0,1,0,5.0
4560,0.0,0.0,0,1,0,1,0,1,0,0,21.0
1803,20.0,5.0,6,2,1,1,0,1,0,0,0.0
1301,0.0,0.0,3,8,0,3,1,0,0,0,0.0
4560,0.0,35.0,6,10,1,4,0,0,0,0,17.0
2364,50.0,0.0,3,2,0,1,0,1,1,0,0.0
1202,43.39,34.0,4,10,0,4,0,0,1,0,34.0
2566,11.11,0.0,6,6,1,2,1,0,1,0,1.0
3397,0.0,0.0,2,5,0,2,0,0,0,0,2.0
4559,0.0,0.0,4,7,0,3,1,0,0,0,2.0
4447,25.0,5.0,4,1,0,1,0,1,1,0,4.0
2264,24.21,0.0,5,11,1,4,0,0,0,1,2.0
702,6.25,0.0,4,1,0,1,0,1,1,0,1.0
2497,20.0,0.0,0,2,0,1,0,1,0,0,0.0
122,30.0,0.0,6,7,1,3,1,0,0,1,0.0
2071,33.5,4.0,0,3,0,1,0,0,0,1,29.0
383,50.0,4.0,3,3,0,1,0,0,0,0,7.0
1182,20.0,0.0,4,2,0,1,0,1,0,0,0.0
1300,30.0,0.0,2,12,0,4,0,1,0,0,8.0
1730,38.24,0.0,4,1,0,1,0,1,1,0,1.0
150,23.5,0.0,4,7,0,3,1,0,0,1,0.0
3013,20.0,0.0,0,2,0,1,0,1,0,0,2.0
1412,0.0,55.0,4,7,0,3,1,0,1,0,52.0
4465,0.0,56.0,0,11,0,4,0,0,1,0,111.0
139,0.0,0.0,1,10,0,4,0,0,0,1,0.0
1721,44.62,0.0,3,3,0,1,0,0,1,0,1.0
683,14.49,0.0,0,12,0,4,0,1,0,0,2.0
386,0.0,4.0,6,2,1,1,0,1,0,0,0.0
2577,5.0,5.0,5,12,1,4,0,1,1,0,5.0
283,0.0,0.0,6,1,1,1,0,1,0,0,1.0
1176,30.0,0.0,4,2,0,1,0,1,0,0,2.0
2503,0.0,4.0,5,4,1,2,0,0,0,0,3.0
1301,0.0,0.0,1,9,0,3,0,0,0,0,0.0
1422,7.94,0.0,6,10,1,4,0,0,1,0,0.0
3416,0.0,4.0,0,10,0,4,0,0,1,0,2.0
2496,20.0,17.0,0,12,0,4,0,1,0,0,0.0
1419,10.77,0.0,3,8,0,3,1,0,1,0,0.0
4140,34.120000000000005,38.0,3,12,0,4,0,1,1,0,20.0
1742,3.12,0.0,0,6,0,2,1,0,1,0,0.0
1414,11.11,0.0,4,12,0,4,0,1,1,0,8.0
4555,20.0,0.0,1,1,0,1,0,1,0,0,2.0
137,60.0,5.0,5,10,1,4,0,0,0,1,2.0
2358,0.0,75.0,0,8,0,3,1,0,1,0,59.0
729,56.82,0.0,4,10,0,4,0,0,1,0,1.0
